"Time (UTC)","Google (Search)","Telescope (# Unique Source IPs)","BGP (#Visible /24s)","Active Probing (#/24s Up)","Mozilla (City Count)"
"2025-12-01 00:00:00",20.889866479049164,22.143438335464374,99.62301301445518,96.58524954964501,15
"2025-12-01 00:30:00",17.410981504255275,22.003952109729166,99.61981142646752,96.25145703083608,
"2025-12-01 01:00:00",15.303415106146712,21.666860397535746,99.6182106324737,95.94945427572323,12.5
"2025-12-01 01:30:00",14.166347491769093,21.817970475415553,99.61981142646752,95.84613754371092,
"2025-12-01 02:00:00",15.654925252340531,23.026851098454028,99.6182106324737,95.46201123238318,17.5
"2025-12-01 02:30:00",17.089459135238847,21.364640241776126,99.61340825049224,95.3878351170923,
"2025-12-01 03:00:00",21.804656905644375,20.79507148669069,99.61340825049224,95.25537776835858,40
"2025-12-01 03:30:00",27.2811612875596,27.87399744275253,99.61340825049224,95.56532796439546,
"2025-12-01 04:00:00",35.50537973330349,40.3115192374753,99.61500904448606,95.77725972236941,67.5
"2025-12-01 04:30:00",45.390988797528074,49.47111472742067,99.6138084489907,96.05806930168485,
"2025-12-01 05:00:00",57.26444731520808,52.07485760781123,99.6166098384799,96.29119423545619,75
"2025-12-01 05:30:00",64.11296505339595,49.93606881320469,99.61340825049224,96.61968846031579,
"2025-12-01 06:00:00",72.31104417452106,46.565151691270486,99.61540924298453,96.74419836812547,77.5
"2025-12-01 06:30:00",76.70455290144051,46.146693014064866,99.60820567001232,96.83162021828971,
"2025-12-01 07:00:00",81.426775233978,45.51900499825642,99.60620467752005,97.04355197626364,77.5
"2025-12-01 07:30:00",83.02353662681799,42.229454841334416,99.60940626550769,97.23164141146552,
"2025-12-01 08:00:00",84.38662275035716,44.08927118447053,99.6066048760185,97.43827487549011,75
"2025-12-01 08:30:00",81.73248815830163,43.5080785772405,99.61340825049224,97.59457454699587,
"2025-12-01 09:00:00",79.03347025837274,43.99628036731373,99.61100705950152,97.60782028186924,75
"2025-12-01 09:30:00",80.82685716888925,41.00895036615134,99.61540924298453,97.7243827487549,
"2025-12-01 10:00:00",83.16794154636926,37.96350110426595,99.61340825049224,97.92571791883013,67.5
"2025-12-01 10:30:00",84.20459128951386,33.8602812972219,99.63742016039956,97.9628059764756,
"2025-12-01 11:00:00",85.20059941115609,31.721492502615366,99.63381837391346,97.75882165942566,65
"2025-12-01 11:30:00",81.0779936338885,31.39602464256655,99.60940626550769,97.77736568824838,
"2025-12-01 12:00:00",77.52668523114872,30.675345809601307,99.6370199619011,97.87273497933666,62.5
"2025-12-01 12:30:00",73.28203284204268,30.686969661745906,99.64262274087947,97.9707534173996,
"2025-12-01 13:00:00",69.42484857994332,29.83842845519005,99.63862075589492,97.94426194765286,62.5
"2025-12-01 13:30:00",65.8241361277205,28.664419388585376,99.63822055739648,98.30984423015789,
"2025-12-01 14:00:00",66.2592441724355,28.373823084970358,99.73586899101954,97.29787008583236,70
"2025-12-01 14:30:00",68.53634917672376,27.199814018365686,99.95397717267765,98.66218077778956,
"2025-12-01 15:00:00",70.96196593360705,28.803905614320584,99.95117578318845,99.00127159054784,60
"2025-12-01 15:30:00",72.16224962725364,27.74613506916192,99.95477756967456,99.10723746953481,
"2025-12-01 16:00:00",73.56765157788102,28.88527257933279,99.96398213513903,99.34566069725548,65
"2025-12-01 16:30:00",73.4289041338453,27.037080088341277,99.96078054715139,99.23969481826852,
"2025-12-01 17:00:00",74.06451983965468,23.16633732418924,99.95437737117611,99.29267775776201,60
"2025-12-01 17:30:00",74.93783153296559,25.03777751946995,99.95357697417919,99.17611529087634,
"2025-12-01 18:00:00",72.87900063472267,25.28187841450657,99.95117578318845,99.3138709335594,60
"2025-12-01 18:30:00",75.89489846866115,23.491805184238054,99.94917479069619,99.2423439652432,
"2025-12-01 19:00:00",75.73030382528518,23.54992444496106,99.94957498919464,98.79728727349794,57.49999999999999
"2025-12-01 19:30:00",72.03507366299537,23.80564919214228,99.95357697417919,99.0992900286108,
"2025-12-01 20:00:00",68.43972091590295,23.387190514936652,99.94957498919464,98.93239376920633,45
"2025-12-01 20:30:00",66.96681889729206,22.22480530047658,99.95917975315757,98.79198897954858,
"2025-12-01 21:00:00",59.20111553534397,23.20120888062304,99.95917975315757,98.5350217230052,35
"2025-12-01 21:30:00",49.99677143947578,22.631640125537604,99.96198114264675,98.68072480661228,
"2025-12-01 22:00:00",42.45771506324086,23.34069510635825,99.95917975315757,98.43700328494225,25
"2025-12-01 22:30:00",34.79436859473741,23.945135417877488,99.89394739790937,97.89657730210872,
"2025-12-01 23:00:00",29.138679270024713,21.852842031849356,99.87954025196498,97.72703189572958,17.5
"2025-12-01 23:30:00",23.424786019577333,21.434383354643728,99.8687348925067,97.3349581434778,
"2025-12-02 00:00:00",19.76239950109497,19.46995234220621,99.87273687749123,97.17865847197203,12.5
